Category|Descript
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
SECONDARY CODES|GANG ACTIVITY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREAT OR FORCE TO RESIST EXECUTIVE OFFICER
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
OTHER OFFENSES|PAROLE VIOLATION
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|LOST PROPERTY, GRAND THEFT
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|FOUND PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
